PassengerID,Gender,Age,Class,TicketFare,Survived
1,Female,22,First,120,Yes
2,Male,35,Third,15,No
3,Female,28,Second,45,Yes
4,Male,19,Third,12,No
5,Female,31,First,150,Yes
6,Male,42,Second,40,No
7,Female,17,Third,20,Yes
8,Male,25,Third,18,No
9,Female,38,First,200,Yes
10,Male,29,Second,50,No
11,Female,26,Second,55,Yes
12,Male,21,Third,10,No
13,Female,45,First,180,Yes
14,Male,33,Third,14,No
15,Female,23,Second,60,Yes
16,Male,40,First,110,No
17,Female,30,Third,22,Yes
18,Male,27,Second,48,No
19,Female,36,First,170,Yes
20,Male,24,Third,16,No
